recording,loc,r3d_path,frame_id,time_sec,person_count,count_bucket,primary_band,primary_dist_conf2,primary_dist_conf1,primary_gt_distance_m,primary_yolo_conf,primary_bbox_area,primary_sharpness,quality_score,dist_bin_05,boundary_bin_01
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,0,0.0,1,1,<3,2.96875,2.97265625,2.96875,0.8987530469894409,31912.27095723711,529.7536103732328,0.10595056434394226,2.5,2.9000000000000004
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,36,0.6002368750050664,1,1,3-5,3.45703125,3.4755859375,3.45703125,0.8997597098350525,40775.6043209685,931.5880024901495,0.1588739068126354,3.0,
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,60,1.0003945000935346,1,1,3-5,3.806640625,3.814453125,3.806640625,0.8854735493659973,33403.6538171377,1315.660793030763,0.2061373103491299,3.5,
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,108,1.8007089160382748,1,1,3-5,4.578125,4.5859375,4.578125,0.8689025640487671,28552.512578822672,1420.6043572820222,0.1695488183196518,4.5,
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,132,2.2008658749982715,1,1,3-5,4.83984375,4.78125,4.83984375,0.7950270771980286,20536.447778385133,1797.7512133277803,0.020146260105220262,4.5,4.800000000000001
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,588,9.803841958055273,1,1,>5,6.72265625,6.76171875,6.72265625,0.8521971702575684,17212.94514477253,899.7538977974241,0.005748954894729166,6.5,
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,612,10.20399820804596,1,1,>5,7.04296875,7.06640625,7.04296875,0.8270724415779114,14838.405478896573,1425.3987201621494,0.04101313542028552,7.0,
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,672,11.204388833139092,1,1,>5,7.2578125,7.2734375,7.2578125,0.8410266041755676,8488.709371343255,1726.1456866281378,0.03613685406489381,7.0,
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,720,12.004701416008174,1,1,>5,,9.6015625,9.6015625,0.8137252330780029,7530.66576532647,1642.2629029302477,0.0,9.5,
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,804,13.405248166061938,1,1,>5,,8.66796875,8.66796875,0.8152837157249451,4990.735006481409,3721.2660838148786,0.0,8.5,
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,840,14.005482291104272,1,1,>5,,8.546875,8.546875,0.8060327768325806,7331.53238171339,3306.968303020495,0.0,8.5,
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,888,14.805794625077397,1,1,>5,8.07421875,7.40625,8.07421875,0.8771430850028992,9118.805118444376,3097.115012467154,0.0065178270506952365,8.0,
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,984,16.40641887509264,1,1,>5,5.58203125,5.58984375,5.58203125,0.8514887094497681,17062.010949689895,2512.5692523860657,0.15334863109806218,5.5,
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,1008,16.806574875023216,1,1,>5,5.1953125,5.203125,5.1953125,0.9012460708618164,18992.130228672177,2572.9945830883526,0.22671743756770657,5.0,5.1000000000000005
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,1032,17.206730875186622,1,1,3-5,4.72265625,4.73828125,4.72265625,0.8548537492752075,23177.04200981185,2413.819506904444,0.15718655585742553,4.5,4.7
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,1056,17.60688691609539,1,1,3-5,4.484375,4.5,4.484375,0.9050442576408386,40048.83229753934,1454.3364375929987,0.17724178352662104,4.0,
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,1356,22.608834458049387,1,1,3-5,4.265625,4.28515625,4.265625,0.8449285626411438,26497.29543032497,1502.672761741531,0.14812183213082272,4.0,
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,1380,23.00899004121311,1,1,3-5,4.265625,4.296875,4.265625,0.892087459564209,42165.77508375049,1003.347141462247,0.12697109380748337,4.0,
Garage1,Garage,E:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,1428,23.809300958178937,1,1,3-5,4.3203125,4.328125,4.3203125,0.8266228437423706,19806.196957509965,1101.2340136485855,0.11029439758367855,4.0,
